,year,month,건강/취미,경제경영,고전,과학,달력/기타,대학교재/전문서적,만화,사회과학,소설/시/희곡,수험서/자격증,어린이,에세이,여행,역사,예술/대중문화,외국어,요리/살림,유아,인문학,자기계발,잡지,전집/중고전집,종교/역학,좋은부모,참고서,청소년,컴퓨터/모바일,해외잡지
0,2010,1,261.16,320.5460122699387,,477.8,,,209.875,286.1515151515151,436.6584766584767,463.54545454545456,,326.5027932960894,330.77777777777777,353.3076923076923,314.0285714285714,450.3063063063063,208.3658536585366,,369.54117647058825,304.8306451612903,,,305.8709677419355,365.9887640449438,120.0,285.3510638297872,317.0,
1,2010,2,223.38709677419354,319.03478260869565,,424.7037037037037,,562.0,198.0344827586207,325.46666666666664,391.2435897435897,675.6666666666666,,348.02162162162165,365.3333333333333,337.2068965517241,338.9032258064516,438.69662921348316,221.0731707317073,,460.16470588235296,290.4148148148148,,,299.76190476190476,359.27906976744185,120.0,271.4342105263158,337.2,
2,2010,3,145.66666666666666,353.48148148148147,,608.0,,562.0,220.0,322.0,387.4695652173913,675.6666666666666,220.0,353.86324786324786,365.3333333333333,329.6,341.3333333333333,568.2894736842105,238.25,,621.7826086956521,279.64516129032256,,,273.92,409.1219512195122,120.0,254.7,343.0,
3,2010,4,210.29268292682926,351.9811320754717,,451.0,,159.5,192.7608695652174,335.6515151515151,370.7486033519553,401.3333333333333,191.6,356.47131147540983,362.6666666666667,378.1,319.05,452.47297297297297,244.03225806451613,,414.47872340425533,292.17557251908397,,,276.40845070422534,340.72340425531917,161.0,238.59701492537314,304.0,
4,2010,5,232.14583333333334,365.0530303030303,271.0,478.45714285714286,,416.6,186.42307692307693,308.6132075471698,351.7483588621444,521.4285714285714,220.0,340.68525896414343,358.90909090909093,417.7317073170732,309.0833333333333,414.5684210526316,245.76470588235293,,439.51851851851853,294.4114285714286,,,295.6727272727273,352.8279569892473,138.0,254.93548387096774,236.83333333333334,
5,2010,6,281.37142857142857,352.74418604651163,271.0,512.03125,,221.5,216.5,322.390243902439,372.3480278422274,463.96,220.0,334.4512820512821,547.75,411.6216216216216,367.5833333333333,453.91818181818184,299.6666666666667,,362.4056603773585,283.1734693877551,,,282.8305084745763,362.5,526.5,277.7682926829268,467.0,
6,2010,7,334.5,345.54901960784315,271.0,332.6666666666667,,221.5,272.9,326.5,421.0163934426229,588.0,220.0,341.01960784313724,469.5,336.61538461538464,354.5,441.5,367.0,,385.6060606060606,297.7708333333333,,159.0,249.25806451612902,366.82608695652175,416.0,278.81081081081084,442.0,
7,2010,8,254.07692307692307,332.71,335.0,396.2258064516129,,221.5,577.3913043478261,425.8333333333333,435.01108033240996,76.0,220.0,325.45,399.8333333333333,337.9130434782609,429.93333333333334,416.94202898550725,290.5625,,392.3,294.4233128834356,,159.0,239.6727272727273,369.1041666666667,416.0,280.04,281.6666666666667,
8,2010,9,222.72413793103448,343.14864864864865,472.0,447.4736842105263,,594.0,197.16666666666666,430.741935483871,367.11176470588236,327.0769230769231,220.0,342.16923076923075,448.75,403.9,364.7142857142857,533.8493150684932,237.78571428571428,,416.0869565217391,294.03105590062114,,159.0,244.6,353.921568627451,416.0,278.36,334.5,
9,2010,10,265.44117647058823,340.7329192546584,472.6,389.6296296296296,,594.0,362.2857142857143,387.75,368.67137096774195,187.38888888888889,220.0,337.8994708994709,399.875,441.59375,346.90909090909093,444.24468085106383,253.5211267605634,,411.6715328467153,296.25,,159.0,255.82481751824818,342.82608695652175,416.0,280.2631578947368,301.25,
